Property,Type,DataType,Dummy
static,attribute,string,0
static,attribute,uint16,0
static,attribute,float,0
static,attribute,float,0
static,attribute,string,0
static,attribute,uint16,0
static,attribute,uint16,0
static,attribute,string,0
static,attribute,float,0
static,attribute,float,0
static,attribute,uint16,0
static,attribute,uint16,0
static,attribute,string,0
dynamic,sensor,string,0
dynamic,sensor,int32,0
dynamic,sensor,boolean,0
dynamic,sensor,uint16,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
static,attribute,float,0
dynamic,sensor,string,0
dynamic,sensor,int32,0
dynamic,sensor,float,0
static,attribute,float,0
dynamic,sensor,float,0
dynamic,sensor,string,0
dynamic,sensor,int32,0
dynamic,sensor,uint16,0
dynamic,sensor,uint16,0
dynamic,sensor,uint8,0
dynamic,sensor,uint16,0
dynamic,sensor,uint16,0
dynamic,sensor,int16,0
static,attribute,float,0
dynamic,sensor,uint8,0
dynamic,sensor,uint32,0
dynamic,sensor,boolean,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
static,attribute,string,0
static,attribute,int8,0
static,attribute,string,0
dynamic,sensor,float,0
dynamic,sensor,int8,0
dynamic,actuator,int8,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,sensor,float,0
dynamic,actuator,float,0
dynamic,sensor,uint8,0
dynamic,actuator,float,0
dynamic,actuator,float,0
dynamic,actuator,float,0
static,attribute,string,0
static,attribute,uint16,0
static,attribute,uint16,0
static,attribute,uint16,0
static,attribute,uint16,0
dynamic,sensor,int32,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
static,attribute,float,0
dynamic,sensor,float,0
dynamic,sensor,string,0
dynamic,sensor,int32,0
dynamic,sensor,int16,0
dynamic,sensor,int16,0
static,attribute,string,0
static,attribute,string,0
dynamic,sensor,string[],0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float[],0
dynamic,sensor,float,0
dynamic,sensor,uint16,0
dynamic,sensor,float,0
dynamic,sensor,uint16,0
dynamic,sensor,float[],0
static,attribute,uint16,0
dynamic,sensor,uint16,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
static,attribute,uint16,0
static,attribute,uint16,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,uint32,0
dynamic,sensor,uint32,0
static,attribute,string[],0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,uint8,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,string,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,string,0
dynamic,sensor,double,0
dynamic,sensor,double,0
dynamic,sensor,double,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,uint32,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,float,0
static,attribute,string[],0
static,attribute,string[],0
static,attribute,string,0
static,attribute,float,0
dynamic,sensor,float,0
dynamic,sensor,uint8,0
dynamic,sensor,uint32,0
dynamic,sensor,uint32,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
static,attribute,string[],0
dynamic,actuator,boolean,0
dynamic,sensor,float,0
dynamic,sensor,uint32,0
dynamic,sensor,uint32,0
static,attribute,string,0
dynamic,actuator,uint8,0
dynamic,actuator,boolean,0
static,attribute,string,0
dynamic,actuator,boolean,0
dynamic,actuator,uint8,0
dynamic,actuator,string,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,uint8,0
dynamic,actuator,string,0
dynamic,actuator,boolean,0
dynamic,sensor,uint8,0
dynamic,actuator,string,0
dynamic,actuator,uint8,0
dynamic,actuator,string,0
dynamic,actuator,uint8,0
dynamic,actuator,float,0
dynamic,actuator,float,0
dynamic,sensor,float,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,uint8,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,uint8,0
dynamic,actuator,string,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,string,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,int8,0
dynamic,actuator,int8,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,float,0
dynamic,actuator,uint8,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,uint8,0
dynamic,actuator,string,0
dynamic,actuator,uint8,0
dynamic,actuator,float,0
dynamic,actuator,string,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,float,0
dynamic,actuator,uint8,0
dynamic,actuator,boolean,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,sensor,string,0
dynamic,sensor,string,0
dynamic,sensor,string,0
dynamic,sensor,string,0
dynamic,sensor,string,0
dynamic,actuator,float,0
dynamic,sensor,string,0
dynamic,actuator,string,0
dynamic,actuator,uint8,0
dynamic,actuator,double,0
dynamic,actuator,double,0
dynamic,actuator,string,0
dynamic,actuator,uint8,0
dynamic,actuator,string,0
dynamic,actuator,boolean,0
dynamic,sensor,string,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,float,0
dynamic,actuator,string,0
dynamic,actuator,boolean,0
dynamic,sensor,string,0
dynamic,actuator,uint16,0
dynamic,actuator,string,0
dynamic,actuator,string,0
static,attribute,string[],0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,uint8,0
dynamic,actuator,boolean,0
dynamic,sensor,int8,0
dynamic,actuator,string,0
dynamic,actuator,boolean,0
dynamic,actuator,uint8,0
dynamic,actuator,string,0
dynamic,actuator,uint8,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,uint8,0
dynamic,actuator,boolean,0
dynamic,actuator,uint8,0
dynamic,actuator,string,0
dynamic,actuator,boolean,0
dynamic,actuator,uint8,0
dynamic,actuator,string,0
dynamic,actuator,string,0
dynamic,actuator,boolean,0
dynamic,actuator,uint8,0
dynamic,actuator,string,0
dynamic,actuator,boolean,0
dynamic,actuator,uint8,0
dynamic,actuator,string,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,uint8,0
dynamic,actuator,string,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,uint8,0
dynamic,actuator,string,0
static,attribute,uint8,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,string,0
dynamic,sensor,string,0
dynamic,sensor,boolean,0
dynamic,actuator,uint16,0
dynamic,actuator,uint8,0
dynamic,actuator,uint8,0
dynamic,actuator,uint16,0
dynamic,actuator,uint16,0
dynamic,actuator,float,0
dynamic,actuator,float,0
dynamic,actuator,float,0
dynamic,actuator,uint8,0
dynamic,actuator,float,0
dynamic,actuator,uint8,0
dynamic,actuator,float,0
dynamic,actuator,float,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,uint16,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,uint8,0
dynamic,actuator,float,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,int8,0
static,attribute,string,0
static,attribute,uint8,0
static,attribute,uint8[],0
dynamic,sensor,string,0
dynamic,actuator,uint8,0
dynamic,actuator,boolean,0
dynamic,sensor,string,0
static,attribute,string,0
dynamic,actuator,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,float,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,actuator,float,0
dynamic,actuator,uint8,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,float,0
dynamic,sensor,uint32,0
dynamic,sensor,string,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,sensor,float,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,boolean,0
dynamic,sensor,boolean,0
dynamic,sensor,boolean,0
dynamic,actuator,uint8,0
dynamic,actuator,boolean,0
static,attribute,uint16,0
static,attribute,uint16,0
static,attribute,uint16,0
static,attribute,uint16,0
static,attribute,uint8,0
static,attribute,float,0
static,attribute,float,0
dynamic,sensor,float,0
static,attribute,float,0
static,attribute,uint16,0
